0, 1
1, 2
2, 2
3, 3
4, 7
5, 9
6, 10
7, 10
8, 10
9, 10
10, 10
11, 10
12, 10
13, 10
14, 10
15, 10
16, 10
17, 10
18, 10
19, 10
20, 10
21, 10
22, 10
23, 10
24, 10
25, 10
26, 10
27, 10
28, 10
29, 10
30, 10
31, 10
32, 10
33, 10
34, 10
35, 10
36, 10
37, 10
38, 10
39, 10
40, 10
41, 10
42, 11
43, 12
44, 14
45, 16
46, 17
47, 19
48, 20
49, 20
50, 20
51, 20
52, 20
53, 21
54, 22
55, 24
56, 29
57, 30
58, 30
59, 30
60, 30
61, 30
62, 30
63, 30
64, 31
65, 31
66, 31
67, 32
68, 34
69, 35
70, 38
71, 43
72, 47
73, 52
74, 53
75, 58
76, 60
77, 60
78, 60
79, 61
80, 62
81, 65
82, 70
83, 78
84, 86
85, 95
86, 98
87, 102
88, 103
89, 104
90, 106
91, 109
92, 112
93, 115
94, 121
95, 127
96, 136
97, 146
98, 156
99, 160
100, 163
101, 166
102, 170
103, 172
104, 173
105, 175
106, 180
107, 186
108, 194
109, 200
110, 207
111, 215
112, 221
113, 230
114, 237
115, 241
116, 250
117, 256
118, 261
119, 267
120, 278
121, 291
122, 300
123, 312
124, 323
125, 332
126, 345
127, 354
128, 365
129, 372
130, 379
131, 382
132, 388
133, 397
134, 405
135, 414
136, 421
137, 431
138, 445
139, 459
140, 474
141, 483
142, 498
143, 510
144, 524
145, 535
146, 548
147, 561
148, 569
149, 582
150, 591
151, 603
152, 611
153, 618
154, 627
155, 643
156, 657
157, 665
158, 680
159, 691
160, 702
161, 715
162, 718
163, 730
164, 738
165, 751
166, 761
167, 774
168, 790
169, 798
170, 809
171, 815
172, 819
173, 827
174, 833
175, 844
176, 851
177, 862
178, 870
179, 879
180, 885
181, 889
182, 892
183, 893
184, 895
185, 898
186, 900
187, 901
188, 902
189, 903
190, 905
191, 909
192, 909
193, 911
194, 911
195, 913
196, 917
197, 922
198, 927
199, 928
200, 930
201, 930
202, 930
203, 932
204, 935
205, 942
206, 948
207, 949
208, 949
209, 949
210, 950
211, 953
212, 956
213, 957
214, 960
215, 961
216, 963
217, 964
218, 966
219, 970
220, 970
221, 973
222, 976
223, 985
224, 989
225, 992
226, 997
227, 999
228, 999
229, 999
230, 1000
